07:41:31.443 [pool-2-thread-3] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-3 | Hyperparameters{nrGenerations=85, nrFitIndividuals=69, tournamentSize=5, seed=2938, hiddenDimSize=48, mutationProb=0.0017192460142282373, populationSize=193}
07:41:31.889 [Thread-13] INFO  algoGenetico.PopulationEvo - Thread: Thread-13 | Generation no: 1
07:41:32.598 [Thread-7] INFO  algoGenetico.PopulationEvo - Thread: Thread-7 | Generation no: 2
07:41:32.623 [Thread-18] INFO  algoGenetico.PopulationEvo - Thread: Thread-18 | Generation no: 5
07:41:32.709 [Thread-20] INFO  algoGenetico.PopulationEvo - Thread: Thread-20 | Generation no: 3
07:41:33.507 [Thread-17] INFO  algoGenetico.PopulationEvo - Thread: Thread-17 | Generation no: 6
07:41:33.544 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 20
07:41:33.783 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 12
07:41:34.457 [pool-2-thread-4] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-4 | Hyperparameters{nrGenerations=18, nrFitIndividuals=245, tournamentSize=72, seed=3944, hiddenDimSize=17, mutationProb=0.5609911428688782, populationSize=653}
07:41:35.383 [pool-2-thread-1] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-1 | Hyperparameters{nrGenerations=31, nrFitIndividuals=95, tournamentSize=24, seed=1894, hiddenDimSize=5, mutationProb=0.09985578235370429, populationSize=790}
07:41:35.839 [Thread-19] INFO  algoGenetico.PopulationEvo - Thread: Thread-19 | Generation no: 1
07:41:36.720 [Thread-18] INFO  algoGenetico.PopulationEvo - Thread: Thread-18 | Generation no: 6
07:41:36.984 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 21
07:41:37.287 [Thread-17] INFO  algoGenetico.PopulationEvo - Thread: Thread-17 | Generation no: 7
07:41:37.304 [Thread-20] INFO  algoGenetico.PopulationEvo - Thread: Thread-20 | Generation no: 4
07:41:37.351 [pool-2-thread-4] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-4 | Hyperparameters{nrGenerations=84, nrFitIndividuals=61, tournamentSize=43, seed=5167, hiddenDimSize=4, mutationProb=0.7349546428646587, populationSize=322}
07:41:37.645 [Thread-22] INFO  algoGenetico.PopulationEvo - Thread: Thread-22 | Generation no: 1
07:41:38.729 [pool-2-thread-3] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-3 | Hyperparameters{nrGenerations=14, nrFitIndividuals=162, tournamentSize=111, seed=5513, hiddenDimSize=12, mutationProb=0.8942478653998074, populationSize=655}
07:41:38.784 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 13
07:41:40.042 [Thread-26] INFO  algoGenetico.PopulationEvo - Thread: Thread-26 | Generation no: 1
07:41:40.242 [Thread-17] INFO  algoGenetico.PopulationEvo - Thread: Thread-17 | Generation no: 8
07:41:40.466 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 4
07:41:40.674 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 22
07:41:40.885 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 2
07:41:40.948 [Thread-24] INFO  algoGenetico.PopulationEvo - Thread: Thread-24 | Generation no: 1
