14:34:00.209 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 3 | Alien X: 158 | Alien Y: 5
14:34:00.209 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -15 | Alien X: 176 | Alien Y: 5
14:34:00.209 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -33 | Alien X: 194 | Alien Y: 5
14:34:00.210 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -51 | Alien X: 212 | Alien Y: 5
14:34:00.210 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -69 | Alien X: 230 | Alien Y: 5
14:34:00.210 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 21 | Alien X: 140 | Alien Y: 23
14:34:00.211 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 3 | Alien X: 158 | Alien Y: 23
14:34:00.211 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -15 | Alien X: 176 | Alien Y: 23
14:34:00.211 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -33 | Alien X: 194 | Alien Y: 23
14:34:00.212 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -51 | Alien X: 212 | Alien Y: 23
14:34:00.212 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -69 | Alien X: 230 | Alien Y: 23
14:34:00.212 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 21 | Alien X: 140 | Alien Y: 41
14:34:00.212 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 3 | Alien X: 158 | Alien Y: 41
14:34:00.212 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -15 | Alien X: 176 | Alien Y: 41
14:34:00.212 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -33 | Alien X: 194 | Alien Y: 41
14:34:00.212 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -51 | Alien X: 212 | Alien Y: 41
14:34:00.213 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -69 | Alien X: 230 | Alien Y: 41
14:34:00.224 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 22 | Alien X: 139 | Alien Y: 5
14:34:00.225 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 4 | Alien X: 157 | Alien Y: 5
14:34:00.225 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -14 | Alien X: 175 | Alien Y: 5
14:34:00.226 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -32 | Alien X: 193 | Alien Y: 5
14:34:00.226 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -50 | Alien X: 211 | Alien Y: 5
14:34:00.226 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -68 | Alien X: 229 | Alien Y: 5
14:34:00.226 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 22 | Alien X: 139 | Alien Y: 23
14:34:00.226 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 4 | Alien X: 157 | Alien Y: 23
14:34:00.226 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -14 | Alien X: 175 | Alien Y: 23
14:34:00.226 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -32 | Alien X: 193 | Alien Y: 23
